Version 1.2 - 2015 Thermoelectric Water Use Model Estimates,,,,,,,,,,,,,,,,,,,
Data release:  https://www.sciencebase.gov/catalog/item/5f63be9a82ce38aaa23b0739,,,,,,,,,,,,,,,,,,,
EIA_PLANT_ID,PLANT_NAME,COUNTY,STATE,NAME_OF_WATER_SOURCE,LATITUDE,LONGITUDE,ELEVATION,COMID,COOLING_TYPE,GENERATION_TYPE,WATER_SOURCE_CODE,WATER_TYPE_CODE,WITHDRAWAL,CONSUMPTION,MIN_WITHDRAWAL,MAX_WITHDRAWAL,MIN_CONSUMPTION,MAX_CONSUMPTION,NET_GENERATION
3,Barry,Mobile,AL,Mobile River,31.00696404,-88.01089992,15,18520855,COMPLEX,COMPLEX,SW,FR,330,8.34,3.21,2560,3.77,9.99,"11,387,562"
7,Gadsden,Etowah,AL,Coosa River,34.01361111,-85.97027778,535,22199835,ONCE-THROUGH FRESH,GAS STEAM,SW,FR,20.5,0.26,9.22,161,0.21,0.32,"214,655"
8,Gorgas,Walker,AL,Warrior River,33.64469388,-87.19974286,275,18591860,ONCE-THROUGH FRESH,COAL,SW,FR,323,4.11,145,2530,3.2,5.01,"4,652,042"
10,Greene County,Greene,AL,Black Warrior River,32.60193544,-87.78200563,100,18211194,ONCE-THROUGH FRESH,COAL,SW,FR,158,2.24,70.8,1240,1.74,2.73,"2,207,648"
26,E C Gaston,Shelby,AL,Coosa River,33.24405797,-86.45746254,400,22273418,COMPLEX,COAL,SW,FR,120,8.2,6.13,865,1.15,9.71,"6,578,669"
46,Browns Ferry,Limestone,AL,Tennessee River,34.70403941,-87.11816898,575,19623742,COMPLEX,NUCLEAR,SW,FR,2490,35.4,41.5,22900,25.6,48,"27,669,694"
47,Colbert,Colbert,AL,Tennessee River,34.7439,-87.8486,445,19581379,ONCE-THROUGH FRESH,COAL,SW,FR,206,2.61,92.5,1610,2.04,3.18,"2,685,375"
50,Widows Creek,Jackson,AL,Tennessee River,34.88322061,-85.75523176,620,19646344,ONCE-THROUGH FRESH,COAL,SW,FR,143,1.88,64,1120,1.46,2.29,"1,627,447"
51,Dolet Hills,DeSoto,LA,Toledo Bend Lake,32.03088081,-93.56881187,245,8342665,RECIRCULATING TOWER,COAL,SW,FR,8.95,6.39,5.82,16,6.31,6.77,"4,273,045"
56,Charles R Lowman,Washington,AL,Tombigbee River,31.48839321,-87.91025742,40,21642176,RECIRCULATING TOWER,COAL,SW,FR,3.6,2.57,2.35,6.32,2.55,2.68,"1,647,783"
59,Platte,Hall,NE,Wells,40.85405821,-98.34846297,1870,7265233,RECIRCULATING TOWER,COAL,GW,FR,1.03,0.73,0.66,1.82,0.71,0.77,"541,762"
60,Whelan Energy Center,Adams,NE,Wells,40.58061518,-98.31275377,1890,18758724,RECIRCULATING TOWER,COAL,GW,FR,2.5,1.79,1.61,4.42,1.74,1.87,"1,380,537"
79,Aurora Energy LLC Chena,Fairbanks North Star,AK,Chena River,64.847474,-147.732909,446,-999,ONCE-THROUGH FRESH,COAL,SW,-nr-,31,0.25,14,238,0.19,0.3,"198,296"
87,Escalante,McKinley,NM,Wells,35.41600724,-108.0825471,6890,17771165,RECIRCULATING TOWER,COAL,GW,FR,2.71,1.94,1.71,5.18,1.85,2.2,"1,368,602"
96,Beluga,Kenai Peninsula,AK,Well,61.18522683,-151.0364175,85,-999,COMPLEX,NGCC,-nr-,-nr-,0.04,0.03,0,0.14,0,0.12,"188,818"
108,Holcomb,Finney,KS,Wells,37.93035601,-100.9725428,2920,21251514,RECIRCULATING TOWER,COAL,GW,FR,2.7,1.93,1.7,5.05,1.84,2.14,"1,443,465"
113,Cholla,Navajo,AZ,Lake Wells,34.94082453,-110.3003025,5030,21746307,RECIRCULATING TOWER,COAL,GW,FR,11.5,8.22,7.22,22.2,7.83,9.42,"5,522,942"
116,Ocotillo,Maricopa,AZ,Wells,33.42512468,-111.912384,1180,20481284,RECIRCULATING TOWER,GAS STEAM,GW,FR,0.25,0.18,0.16,0.51,0.17,0.22,"105,522"
117,West Phoenix,Maricopa,AZ,Wells,33.44270271,-112.1546127,1060,20479752,RECIRCULATING TOWER,NGCC,GW,FR,2.2,1.57,1.4,4.39,1.52,1.86,"1,811,587"
120,Yucca,Yuma,AZ,Wells,32.72139444,-114.7103528,121,21412867,RECIRCULATING TOWER,GAS STEAM,GW,-nr-,0.63,0.45,0.4,1.2,0.43,0.51,"277,526"
126,H Wilson Sundt Generating Station,Pima,AZ,Wells,32.16016304,-110.905565,2610,15903647,RECIRCULATING TOWER,GAS STEAM,GW,FR,1.46,1.04,0.9,2.95,0.97,1.25,"764,312"
127,Oklaunion,Wilbarger,TX,Municipality,34.08264661,-99.17592552,1230,13727091,RECIRCULATING TOWER,COAL,SW,FR,4.12,2.95,2.64,7.47,2.87,3.17,"2,081,937"
130,Cross,Berkeley,SC,Diversion Canal,33.36932286,-80.11332509,80,9644979,RECIRCULATING TOWER,COAL,SW,FR,16.6,11.8,10.8,29.3,11.7,12.4,"8,921,964"
136,Seminole (FL),Putnam,FL,St Johns River,29.73469548,-81.63206718,80,16664633,RECIRCULATING TOWER,COAL,SW,FR,14.4,10.3,9.42,25.4,10.2,10.8,"7,744,214"
141,Agua Fria,Maricopa,AZ,Wells,33.55450661,-112.2156297,1140,20419482,RECIRCULATING TOWER,GAS STEAM,GW,FR,0.3,0.22,0.19,0.64,0.21,0.27,"110,469"
147,Kyrene,Maricopa,AZ,Well Water,33.35589145,-111.936438,1190,21270494,RECIRCULATING TOWER,NGCC,SW,FR,0.78,0.56,0.5,1.62,0.54,0.69,"872,866"
160,Apache Station,Cochise,AZ,Wells,32.06178337,-109.8944462,4200,21263023,RECIRCULATING TOWER,COMPLEX,GW,OT,4.29,3.07,2.74,8.68,2.97,3.68,"1,929,246"
165,GREC,Mayes,OK,Grand Neosho,36.1902051,-95.28903116,620,21773139,RECIRCULATING TOWER,COAL,SW,FR,8.8,6.29,5.7,15.7,6.17,6.63,"3,755,194"
170,Lake Catherine,Hot Spring,AR,Lake Catherine,34.4340047,-92.90441257,330,15237608,ONCE-THROUGH FRESH,GAS STEAM,SW,FR,17.8,0.18,8.13,131,0.14,0.22,"159,628"
201,Thomas Fitzhugh,Franklin,AR,Arkansas River,35.46221888,-93.80493609,374,7768811,COMPLEX,NGCC,SW,FR,2.86,0.05,0.06,26.4,0.04,0.07,"76,419"
202,Carl Bailey,Woodruff,AR,White River,35.25984386,-91.36364542,210,11800747,ONCE-THROUGH FRESH,GAS STEAM,SW,FR,3.17,0.04,1.42,24.9,0.03,0.05,"32,020"
203,McClellan (AR),Ouachita,AR,Ouachita River,33.56440516,-92.79140028,120,22012822,ONCE-THROUGH FRESH,GAS STEAM,SW,FR,8.11,0.12,3.63,64,0.09,0.15,"88,953"
204,Clinton Power Station,DeWitt,IL,Salt Creek,40.17262133,-88.83435066,730,13552373,ONCE-THROUGH FRESH,NUCLEAR,SW,FR,1010,10.5,458,7500,8.19,12.8,"8,663,837"
207,St Johns River Power Park,Duval,FL,St. Johns River,30.43184208,-81.55028704,10,16659807,RECIRCULATING TOWER,COAL,SW,SA,10.2,7.31,6.69,18,7.26,7.63,"4,799,223"
210,Wolf Creek Generating Station,Coffey,KS,Wolf Creek Cooling Lake,38.23998736,-95.68972204,1100,20888757,RECIRCULATING POND,NUCLEAR,SW,FR,9.47,9.47,7.39,11.6,7.39,11.6,"8,630,178"
260,Dynegy Moss Landing Power Plant,Monterey,CA,Moss Landing Harbor,36.80472192,-121.7826217,0,17606205,ONCE-THROUGH SALINE,COMPLEX,SW,SA,160,0,134,334,0,0,"3,947,428"
271,Pittsburg Power,Contra Costa,CA,Sacremento-San Joaquin River D,38.03955743,-121.8941649,10,2788533,COMPLEX,GAS STEAM,SW,SA,15,0.23,0.03,117,0,0.25,"181,060"
298,Limestone,Limestone,TX,Lake Limestone,31.4230303,-96.25276036,460,5576035,RECIRCULATING TOWER,COAL,SW,FR,16.5,11.8,10.7,29.5,11.6,12.5,"9,164,672"
302,Encina,San Diego,CA,Pacific Ocean,33.13611318,-117.336276,0,20342643,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,80.6,0,65.3,163,0,0,"652,624"
315,AES Alamitos LLC,Los Angeles,CA,Los Cerritos Channel,33.76913561,-118.1002421,0,22525185,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,113,0,92.2,230,0,0,"1,052,825"
330,El Segundo Power,Los Angeles,CA,Pacific Ocean,33.90940044,-118.4245704,0,20366339,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,15.4,0,12.6,31.5,0,0,"144,279"
331,Etiwanda Generating Station,San Bernardino,CA,Wells,34.09107383,-117.5278841,1110,22563044,RECIRCULATING TOWER,GAS STEAM,GW,FR,0.42,0.3,0.26,0.82,0.29,0.35,"136,904"
335,AES Huntington Beach LLC,Orange,CA,Pacific Ocean,33.64265185,-117.9771,0,22561410,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,62.4,0,51.2,128,0,0,"722,497"
345,Mandalay,Ventura,CA,Pacific Ocean,34.20641074,-119.2509438,10,17563304,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,22.8,0,18.6,46.6,0,0,"247,656"
350,Ormond Beach,Ventura,CA,Pacific Ocean,34.12968338,-119.1685669,0,17563318,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,39,0,31.8,79.4,0,0,"405,013"
356,AES Redondo Beach LLC,Los Angeles,CA,Pacific Ocean,33.85075455,-118.3953847,0,20366347,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,52.1,0,42.6,106,0,0,"486,888"
358,Mountainview Generating Station,San Bernardino,CA,Wells,34.07949236,-117.2414784,1110,24843732,RECIRCULATING TOWER,NGCC,GW,OT,5.46,3.9,3.47,10.5,3.76,4.44,"5,750,409"
371,Columbia Generating Station,Benton,WA,Columbia River,46.47118722,-119.3346601,450,24415030,RECIRCULATING TOWER,NUCLEAR,SW,FR,17.5,12.5,11.1,32.8,12,13.9,"8,160,912"
377,Grayson,Los Angeles,CA,Municipality,34.15613618,-118.2786432,470,22514960,RECIRCULATING TOWER,COMPLEX,PD,BE,0.44,0.31,0.28,0.82,0.31,0.35,"152,604"
384,Joliet 29,Will,IL,Desplaines River,41.4946911,-88.12371689,510,14788089,COMPLEX,COAL,SW,FR,309,5.92,6.53,3410,4.17,7.7,"5,466,753"
389,El Centro,Imperial,CA,Dogwood Canal,32.80204148,-115.5397085,-50,22602435,RECIRCULATING TOWER,COMPLEX,SW,OT,1.47,1.05,0.91,2.85,0.99,1.21,"998,997"
399,Harbor,Los Angeles,CA,Pacific Ocean,33.76908095,-118.2661469,17,20366391,ONCE-THROUGH SALINE,NGCC,SW,SA,5.35,0,4.38,10.9,0,0,"59,734"
400,Haynes,Los Angeles,CA,Pacific Ocean,33.76485063,-118.0991871,0,22525185,ONCE-THROUGH SALINE,COMPLEX,SW,SA,114,0,93.5,234,0,0,"2,668,567"
404,Scattergood,Los Angeles,CA,Pacific Ocean,33.91738812,-118.4271947,0,20366337,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,136,0,112,280,0,0,"1,278,120"
408,Valley (CA),Los Angeles,CA,Municipality,34.2447062,-118.3922837,920,22514964,RECIRCULATING TOWER,NGCC,OT,OT,0.89,0.64,0.57,1.7,0.62,0.72,"1,010,843"
420,Broadway (CA),Los Angeles,CA,Municipality,34.1259952,-118.1477677,750,22515008,RECIRCULATING TOWER,GAS STEAM,-nr-,-nr-,0.05,0.04,0.03,0.1,0.04,0.04,"21,297"
469,Cherokee,Adams,CO,South Platte River,39.80727005,-104.9650559,5140,229709,RECIRCULATING TOWER,COMPLEX,SW,FR,5,3.57,3.15,9.41,3.42,3.99,"3,192,480"
470,Comanche (CO),Pueblo,CO,Arkansas River,38.2081363,-104.5757024,4830,951449,COMPLEX,COAL,SW,FR,8.33,5.95,0,13.18,0,6.61,"8,636,016"
477,Valmont,Boulder,CO,South Boulder Creek,40.01921473,-105.2013762,5240,2889816,RECIRCULATING POND,COAL,SW,FR,0.73,0.73,0.57,0.89,0.57,0.89,"1,057,147"
492,Martin Drake,El Paso,CO,Municipality,38.82503095,-104.8323201,5960,1529727,RECIRCULATING TOWER,COAL,PD,BE,2.93,2.1,1.85,5.51,2.01,2.34,"1,387,318"
493,George Birdsall,El Paso,CO,Municipality,38.88136924,-104.8172158,6175,1529685,RECIRCULATING TOWER,GAS STEAM,-nr-,-nr-,0.01,0.01,0,0.01,0.01,0.01,"2,549"
525,Hayden,Routt,CO,Yampa River,40.48695498,-107.1854164,6520,120299630,RECIRCULATING TOWER,COAL,SW,FR,5.44,3.88,3.43,10.1,3.72,4.27,"2,877,284"
527,Nucla,Montrose,CO,San Miguel River,38.23846312,-108.5080871,5580,18375940,RECIRCULATING TOWER,COAL,SW,FR,1.03,0.73,0.65,1.94,0.7,0.82,"416,150"
533,McWilliams,Covington,AL,Conecuh River,31.40091791,-86.47916301,197,2378841,RECIRCULATING TOWER,NGCC,-nr-,-nr-,3.49,2.5,2.29,6.14,2.48,2.6,"4,001,221"
546,Montville Station,New London,CT,Thames River,41.4278778,-72.10096198,0,6171772,ONCE-THROUGH SALINE,OIL,SW,SA,1.77,0,1.47,3.68,0,0,"13,241"
550,Kettle Falls Generating Station,Stevens,WA,Wells,48.62032544,-118.1105825,1442,23031458,RECIRCULATING TOWER,BIOMASS,GW,-nr-,0.77,0.55,0.49,1.43,0.53,0.61,"320,517"
562,Middletown,Middlesex,CT,Connecticut River,41.55492973,-72.57927478,20,7701182,COMPLEX,OIL,SW,FR,36.9,0.51,0.02,289,0.38,0.57,"422,774"
564,Stanton Energy Center,Orange,FL,Eastern Water Reclaimation Fac,28.48246916,-81.1665117,80,11009165,RECIRCULATING TOWER,NGCC,PD,BE,9.36,6.69,6.14,16.4,6.65,6.97,"5,199,413"
566,Millstone,New London,CT,Long Island Sound,41.31145417,-72.16790097,0,6170916,ONCE-THROUGH SALINE,NUCLEAR,SW,SA,1810,0,1530,3830,0,0,"17,410,917"
568,Bridgeport Station,Fairfield,CT,Bridgeport Harbor,41.17140761,-73.18400417,0,7734269,ONCE-THROUGH SALINE,COAL,SW,SA,54.9,0,48.6,121,0,0,"601,853"
589,J C McNeil,Chittenden,VT,Wells,44.49310505,-73.20840941,115,4578832,RECIRCULATING TOWER,BIOMASS,GW,-nr-,0.66,0.47,0.42,1.21,0.45,0.51,"290,370"
593,Edge Moor,New Castle,DE,Delaware River,39.73828156,-75.50349563,10,24902756,ONCE-THROUGH SALINE,GAS STEAM,SW,SA,66.6,0,54.3,136,0,0,"585,646"
594,Indian River Generating Station,Sussex,DE,Indian River,38.58535191,-75.23500794,10,8409147,RECIRCULATING TOWER,COAL,SW,SA,1.28,0.91,0.8,2.31,0.87,0.98,"602,337"
599,McKee Run,Kent,DE,Municipality,39.17465564,-75.54489893,40,8075732,RECIRCULATING TOWER,GAS STEAM,GW,FR,0.03,0.02,0.02,0.06,0.02,0.02,"11,557"
602,Brandon Shores,Anne Arundel,MD,Patapsco River,39.18093561,-76.53864143,20,11690244,RECIRCULATING TOWER,COAL,SW,SA,10.3,7.35,6.58,18.4,7.13,7.82,"4,962,679"
609,Cape Canaveral,Brevard,FL,Indian River,28.46893995,-80.76428993,0,16699891,ONCE-THROUGH SALINE,NGCC,SW,SA,208,0,164,411,0,0,"7,046,079"
612,Fort Myers,Lee,FL,Caloosahatchee River,26.6976533,-81.78187763,0,10247759,ONCE-THROUGH SALINE,NGCC,SW,SA,290,0,229,572,0,0,"7,777,313"
613,Lauderdale,Broward,FL,Dania Cut-Off Canal,26.06868674,-80.19836655,0,79368,ONCE-THROUGH SALINE,NGCC,SW,SA,232,0,181,452,0,0,"4,382,884"
619,Riviera,Palm Beach,FL,Lake Worth,26.7653,-80.0525,6,,ONCE-THROUGH SALINE,NGCC,SW,SA,212,0,167,417,0,0,"6,979,871"
620,Sanford,Volusia,FL,St. Johns River,28.84224821,-81.32532209,15,11033091,RECIRCULATING POND,NGCC,SW,FR,5.07,5.07,4.1,6.04,4.1,6.04,"9,021,219"
621,Turkey Point,Miami Dade,FL,Biscayne Bay,25.43493305,-80.33092603,4,90516,COMPLEX,COMPLEX,SW,SA,37.9,3.94,3.61,236,0,4.11,"20,337,856"
628,Crystal River,Citrus,FL,Gulf of Mexico,28.9658123,-82.69808632,2,16928218,COMPLEX,COAL,SW,SA,254,10.6,9.72,473,0,11,"9,744,872"
634,P L Bartow,Pinellas,FL,Tampa Bay,27.86145793,-82.60089363,0,16919460,ONCE-THROUGH SALINE,NGCC,SW,SA,292,0,230,576,0,0,"7,088,517"
638,Suwannee River,Suwannee,FL,Suwannee River,30.3763512,-83.18077597,60,2230475,ONCE-THROUGH FRESH,GAS STEAM,SW,FR,49.4,0.68,22.2,389,0.53,0.83,"485,040"
641,Crist,Escambia,FL,Escambia River,30.56568631,-87.22464381,25,450574,COMPLEX,COAL,SW,SA,15.5,3.82,6.16,163,0.22,4.04,"2,476,429"
642,Scholz,Jackson,FL,Apalachicola River,30.66923562,-84.88701064,89,902800005,ONCE-THROUGH FRESH,COAL,SW,FR,3.16,0.04,1.42,24.6,0.03,0.05,"26,903"
643,Lansing Smith,Bay,FL,North Bay,30.26869291,-85.70006446,8,2178625,COMPLEX,COMPLEX,SW,SA,44,2.07,1.9,83.4,0,2.16,"4,016,583"
645,Big Bend,Hillsborough,FL,Tampa Bay,27.79465431,-82.40321663,0,16919198,ONCE-THROUGH SALINE,COAL,SW,SA,720,0,565,1410,0,0,"7,539,819"
